title,price,product_url,img_url,wish_count,chat_count
리즈 리아 체크셔츠 핑크 구합니다!,"1,234원",https://web.joongna.com/product/208036696,https://img2.joongna.com/media/original/2025/04/25/1745541317332q3c_epf9s.jpg?impolicy=thumb&size=300,0,0
(구해요) 하프먼스 플러터 블라우스,"1,234원",https://web.joongna.com/product/202913223,https://img2.joongna.com/media/original/2025/03/02/1740897403436NHj_RBnUL.jpg?impolicy=thumb&size=300,0,0
여름 반팔 블라우스 셔츠,"2,000원",https://web.joongna.com/product/178869280,https://img2.joongna.com/media/original/2024/08/01/1722487470681x8O_yxrP9.jpg?impolicy=thumb&size=300,1,1
여성흰색 남방,"2,000원",https://web.joongna.com/product/64896866,https://img2.joongna.com/media/original/2022/08/30/1661871123331rQs_4r52F.jpg?impolicy=thumb&size=300,0,0
(2만원 이상 무료)롱 블라우스 L사이즈,"2,000원",https://web.joongna.com/product/211851191,https://img2.joongna.com/media/original/2025/06/06/17492083677940uL_iTMD1.jpg?impolicy=thumb&size=300,0,0
유니클로 파인애플 셔츠s,"2,000원",https://web.joongna.com/product/212809595,https://img2.joongna.com/media/original/2025/06/17/1750131525506MvP_BVwHM.jpg?impolicy=thumb&size=300,0,0
자라 프린트 롤업 반팔겸용 블라우스 13-14세(S),"2,000원",https://web.joongna.com/product/212412773,https://img2.joongna.com/media/original/2025/06/12/1749739115668FDT_kVr9W.jpg?impolicy=thumb&size=300,0,0
(2만원 이상 무료)롱 블라우스 L사이즈,"2,000원",https://web.joongna.com/product/212411710,https://img2.joongna.com/media/original/2025/06/12/17497381142628yq_Aut6H.jpg?impolicy=thumb&size=300,0,0
뷔스티에 연노랑 나시탑 (55),"2,000원",https://web.joongna.com/product/209595156,https://img2.joongna.com/media/original/2025/05/12/1747047351824FTO_llRVf.jpg?impolicy=thumb&size=300,1,0
밸리걸 허리끈 롱 블라우스 (55),"2,000원",https://web.joongna.com/product/209594939,https://img2.joongna.com/media/original/2025/05/12/1747047153704Tk0_7RjIB.jpg?impolicy=thumb&size=300,0,0
반팔 셔츠 프리사이즈,"2,000원",https://web.joongna.com/product/210392508,https://img2.joongna.com/media/original/2025/05/21/1747812879730Ngt_Itiib.jpg?impolicy=thumb&size=300,0,0
새것 곰인형 13cm,"2,000원",https://web.joongna.com/product/210069770,https://img2.joongna.com/media/original/2025/05/18/1747514706436OeA_1Yqgb.jpg?impolicy=thumb&size=300,0,0
여성 블라우스,"2,000원",https://web.joongna.com/product/207553791,https://img2.joongna.com/media/original/2025/04/20/1745095477816nYj_8C3Ao.jpg?impolicy=thumb&size=300,1,0
블라우스,"2,000원",https://web.joongna.com/product/133643396,https://img2.joongna.com/media/original/2023/09/27/1695776111795OQv_psOA5.jpg?impolicy=thumb&size=300,0,0
주름 머플러,"2,000원",https://web.joongna.com/product/11693669,https://img2.joongna.com/mobile/Original/2018/09/22/D20180922220917_11693669_345399_0.jpg?impolicy=thumb&size=300,0,0
새것 아동복110 아동나시티110,"2,000원",https://web.joongna.com/product/175650767,https://img2.joongna.com/media/original/2024/07/08/1720430916419CbP_Tze5J.jpg?impolicy=thumb&size=300,1,0
와이셔츠 티셔츠 긴팔 셔츠 체크 니트 긴팔티 블라우스,"2,000원",https://web.joongna.com/product/161202036,https://img2.joongna.com/media/original/2024/03/27/1711471469231PW2_qozNy.jpg?impolicy=thumb&size=300,0,0
긴팔 와이셔츠 화이트 베이지 카라 티셔츠 블라우스 카라,"2,000원",https://web.joongna.com/product/160392363,https://img2.joongna.com/media/original/2024/03/21/1710957539183Gwd_UCMFU.jpg?impolicy=thumb&size=300,0,0
셔츠,"2,000원",https://web.joongna.com/product/203354938,https://img2.joongna.com/media/original/2025/03/07/1741305569203RPr_daGjI.jpg?impolicy=thumb&size=300,0,0
블루레이스 프릴블라우스 스쿨룩 틸아이다이 밀크코코아,"2,000원",https://web.joongna.com/product/199100137,https://img2.joongna.com/media/original/2025/01/20/17373146240372c9_C0OtR.jpg?impolicy=thumb&size=300,0,0
클로비스 블라우스셔츠,"2,000원",https://web.joongna.com/product/199567590,https://img2.joongna.com/media/original/2025/01/25/1737758113841zdY_8lYqR.jpg?impolicy=thumb&size=300,0,0
소녀나라 딸기쨈프로젝트 리엘 프릴블라우스S,"2,000원",https://web.joongna.com/product/195065346,https://img2.joongna.com/media/original/2024/12/09/1733678367182LIH_Ewquj.jpg?impolicy=thumb&size=300,1,0
베이지 레이스 노라인팬티 90S,"2,000원",https://web.joongna.com/product/190488047,https://img2.joongna.com/media/original/2024/10/27/1730010410786hQ9_KrcZB.jpg?impolicy=thumb&size=300,2,0
